num_channels_down: [128, 128, 128], num_channels_skip: [16, 16, 16], time cost: 109.37932682037354, last_loss: 0.001250922679901123
num_channels_down: [128, 128, 128], num_channels_skip: [16, 16, 8], time cost: 103.03407430648804, last_loss: 0.0012619495391845703
num_channels_down: [128, 128, 128], num_channels_skip: [16, 8, 8], time cost: 101.15543723106384, last_loss: 0.0015073418617248535
num_channels_down: [128, 128, 128], num_channels_skip: [8, 8, 8], time cost: 100.4449291229248, last_loss: 0.001503288745880127
num_channels_down: [128, 128, 128], num_channels_skip: [8, 4, 4], time cost: 100.55466079711914, last_loss: 0.0016270279884338379
num_channels_down: [128, 128, 128], num_channels_skip: [4, 4, 4], time cost: 99.68757724761963, last_loss: 0.002055048942565918
num_channels_down: [128, 128, 128], num_channels_skip: [2, 2, 2], time cost: 99.96978545188904, last_loss: 0.0021259188652038574
num_channels_down: [128, 128, 64], num_channels_skip: [16, 16, 16], time cost: 99.39453673362732, last_loss: 0.0014804601669311523
num_channels_down: [128, 128, 64], num_channels_skip: [16, 16, 8], time cost: 98.77908849716187, last_loss: 0.001322925090789795
num_channels_down: [128, 128, 64], num_channels_skip: [16, 8, 8], time cost: 99.84133839607239, last_loss: 0.0014827251434326172
num_channels_down: [128, 128, 64], num_channels_skip: [8, 8, 8], time cost: 100.50929665565491, last_loss: 0.0016022920608520508
num_channels_down: [128, 128, 64], num_channels_skip: [8, 4, 4], time cost: 99.23040246963501, last_loss: 0.0017365813255310059
num_channels_down: [128, 128, 64], num_channels_skip: [4, 4, 4], time cost: 98.35211277008057, last_loss: 0.0018584132194519043
num_channels_down: [128, 128, 64], num_channels_skip: [2, 2, 2], time cost: 98.57244372367859, last_loss: 0.0019341111183166504
num_channels_down: [128, 64, 64], num_channels_skip: [16, 16, 16], time cost: 95.9253203868866, last_loss: 0.0014313459396362305
num_channels_down: [128, 64, 64], num_channels_skip: [16, 16, 8], time cost: 95.27148509025574, last_loss: 0.0015197992324829102
num_channels_down: [128, 64, 64], num_channels_skip: [16, 8, 8], time cost: 95.38723945617676, last_loss: 0.001543283462524414
num_channels_down: [128, 64, 64], num_channels_skip: [8, 8, 8], time cost: 95.75127983093262, last_loss: 0.0015184283256530762
num_channels_down: [128, 64, 64], num_channels_skip: [8, 4, 4], time cost: 95.22761654853821, last_loss: 0.002177596092224121
num_channels_down: [128, 64, 64], num_channels_skip: [4, 4, 4], time cost: 95.5128538608551, last_loss: 0.0017188191413879395
num_channels_down: [128, 64, 64], num_channels_skip: [2, 2, 2], time cost: 96.19308567047119, last_loss: 0.0017202496528625488
num_channels_down: [64, 64, 64], num_channels_skip: [16, 16, 16], time cost: 90.34216904640198, last_loss: 0.002113640308380127
num_channels_down: [64, 64, 64], num_channels_skip: [16, 16, 8], time cost: 90.55008316040039, last_loss: 0.002168893814086914
num_channels_down: [64, 64, 64], num_channels_skip: [16, 8, 8], time cost: 90.2867579460144, last_loss: 0.0023608803749084473
num_channels_down: [64, 64, 64], num_channels_skip: [8, 8, 8], time cost: 90.22024488449097, last_loss: 0.0026280879974365234
num_channels_down: [64, 64, 64], num_channels_skip: [8, 4, 4], time cost: 90.31384515762329, last_loss: 0.0024861693382263184
num_channels_down: [64, 64, 64], num_channels_skip: [4, 4, 4], time cost: 90.66570520401001, last_loss: 0.0027694106101989746
num_channels_down: [64, 64, 64], num_channels_skip: [2, 2, 2], time cost: 90.88887929916382, last_loss: 0.004749476909637451
num_channels_down: [64, 64, 32], num_channels_skip: [16, 16, 16], time cost: 90.20570397377014, last_loss: 0.0021454691886901855
num_channels_down: [64, 64, 32], num_channels_skip: [16, 16, 8], time cost: 89.94031715393066, last_loss: 0.002390623092651367
num_channels_down: [64, 64, 32], num_channels_skip: [16, 8, 8], time cost: 90.36230754852295, last_loss: 0.002196967601776123
num_channels_down: [64, 64, 32], num_channels_skip: [8, 8, 8], time cost: 89.95154356956482, last_loss: 0.0023540258407592773
num_channels_down: [64, 64, 32], num_channels_skip: [8, 4, 4], time cost: 89.24775433540344, last_loss: 0.0025343894958496094
num_channels_down: [64, 64, 32], num_channels_skip: [4, 4, 4], time cost: 88.68360638618469, last_loss: 0.0025037527084350586
num_channels_down: [64, 64, 32], num_channels_skip: [2, 2, 2], time cost: 88.77870678901672, last_loss: 0.002939760684967041
num_channels_down: [64, 32, 32], num_channels_skip: [16, 16, 16], time cost: 88.08562397956848, last_loss: 0.0021608471870422363
num_channels_down: [64, 32, 32], num_channels_skip: [16, 16, 8], time cost: 88.24599146842957, last_loss: 0.002214193344116211
num_channels_down: [64, 32, 32], num_channels_skip: [16, 8, 8], time cost: 88.05768084526062, last_loss: 0.0024229884147644043
num_channels_down: [64, 32, 32], num_channels_skip: [8, 8, 8], time cost: 88.39830946922302, last_loss: 0.002897322177886963
num_channels_down: [64, 32, 32], num_channels_skip: [8, 4, 4], time cost: 87.4254298210144, last_loss: 0.002729356288909912
num_channels_down: [64, 32, 32], num_channels_skip: [4, 4, 4], time cost: 88.05791282653809, last_loss: 0.0029204487800598145
num_channels_down: [64, 32, 32], num_channels_skip: [2, 2, 2], time cost: 88.42187190055847, last_loss: 0.0033214688301086426
num_channels_down: [32, 32, 32], num_channels_skip: [16, 16, 16], time cost: 88.23164176940918, last_loss: 0.0031515955924987793
num_channels_down: [32, 32, 32], num_channels_skip: [16, 16, 8], time cost: 88.15465521812439, last_loss: 0.002952098846435547
num_channels_down: [32, 32, 32], num_channels_skip: [16, 8, 8], time cost: 87.04117965698242, last_loss: 0.0037266016006469727
num_channels_down: [32, 32, 32], num_channels_skip: [8, 8, 8], time cost: 87.23806476593018, last_loss: 0.0032155513763427734
num_channels_down: [32, 32, 32], num_channels_skip: [8, 4, 4], time cost: 87.06109929084778, last_loss: 0.003903806209564209
num_channels_down: [32, 32, 32], num_channels_skip: [4, 4, 4], time cost: 86.5174651145935, last_loss: 0.004480123519897461
num_channels_down: [32, 32, 32], num_channels_skip: [2, 2, 2], time cost: 85.81344842910767, last_loss: 0.0044280290603637695
num_channels_down: [32, 16, 16], num_channels_skip: [16, 16, 16], time cost: 85.74612832069397, last_loss: 0.004328012466430664
num_channels_down: [32, 16, 16], num_channels_skip: [16, 16, 8], time cost: 85.93063950538635, last_loss: 0.004223227500915527
num_channels_down: [32, 16, 16], num_channels_skip: [16, 8, 8], time cost: 86.08405923843384, last_loss: 0.004428565502166748
num_channels_down: [32, 16, 16], num_channels_skip: [8, 8, 8], time cost: 84.95448851585388, last_loss: 0.004540622234344482
num_channels_down: [32, 16, 16], num_channels_skip: [8, 4, 4], time cost: 84.65885901451111, last_loss: 0.005431234836578369
num_channels_down: [32, 16, 16], num_channels_skip: [4, 4, 4], time cost: 84.60659599304199, last_loss: 0.005490124225616455
num_channels_down: [32, 16, 16], num_channels_skip: [2, 2, 2], time cost: 84.6461992263794, last_loss: 0.005827903747558594
num_channels_down: [16, 16, 16], num_channels_skip: [16, 16, 16], time cost: 85.88299703598022, last_loss: 0.005806028842926025
num_channels_down: [16, 16, 16], num_channels_skip: [16, 16, 8], time cost: 84.64927411079407, last_loss: 0.006311774253845215
num_channels_down: [16, 16, 16], num_channels_skip: [16, 8, 8], time cost: 84.1759283542633, last_loss: 0.00670015811920166
num_channels_down: [16, 16, 16], num_channels_skip: [8, 8, 8], time cost: 85.10277700424194, last_loss: 0.0066100358963012695
num_channels_down: [16, 16, 16], num_channels_skip: [8, 4, 4], time cost: 84.54226803779602, last_loss: 0.007542073726654053
num_channels_down: [16, 16, 16], num_channels_skip: [4, 4, 4], time cost: 84.45152521133423, last_loss: 0.0075797438621521
num_channels_down: [16, 16, 16], num_channels_skip: [2, 2, 2], time cost: 84.05347514152527, last_loss: 0.007738947868347168
num_channels_down: [16, 8, 8], num_channels_skip: [16, 16, 16], time cost: 83.19114089012146, last_loss: 0.008643567562103271
num_channels_down: [16, 8, 8], num_channels_skip: [16, 16, 8], time cost: 82.75574135780334, last_loss: 0.00977480411529541
num_channels_down: [16, 8, 8], num_channels_skip: [16, 8, 8], time cost: 83.22219133377075, last_loss: 0.010269463062286377
num_channels_down: [16, 8, 8], num_channels_skip: [8, 8, 8], time cost: 83.19321465492249, last_loss: 0.009794414043426514
num_channels_down: [16, 8, 8], num_channels_skip: [8, 4, 4], time cost: 82.79452252388, last_loss: 0.012269198894500732
num_channels_down: [16, 8, 8], num_channels_skip: [4, 4, 4], time cost: 82.95260262489319, last_loss: 0.011622369289398193
num_channels_down: [16, 8, 8], num_channels_skip: [2, 2, 2], time cost: 83.6368899345398, last_loss: 0.013499319553375244
num_channels_down: [8, 8, 8], num_channels_skip: [16, 16, 16], time cost: 81.02673292160034, last_loss: 0.013076186180114746
num_channels_down: [8, 8, 8], num_channels_skip: [16, 16, 8], time cost: 81.24707794189453, last_loss: 0.014508962631225586
num_channels_down: [8, 8, 8], num_channels_skip: [16, 8, 8], time cost: 82.04422926902771, last_loss: 0.01543647050857544
num_channels_down: [8, 8, 8], num_channels_skip: [8, 8, 8], time cost: 81.58409237861633, last_loss: 0.0151328444480896
num_channels_down: [8, 8, 8], num_channels_skip: [8, 4, 4], time cost: 82.18278336524963, last_loss: 0.01649719476699829
num_channels_down: [8, 8, 8], num_channels_skip: [4, 4, 4], time cost: 82.86237812042236, last_loss: 0.01711249351501465
num_channels_down: [8, 8, 8], num_channels_skip: [2, 2, 2], time cost: 81.69531321525574, last_loss: 0.017310380935668945
num_channels_down: [4, 4, 4], num_channels_skip: [16, 16, 16], time cost: 79.39333009719849, last_loss: 0.03261536359786987
num_channels_down: [4, 4, 4], num_channels_skip: [16, 16, 8], time cost: 79.5825412273407, last_loss: 0.032805800437927246
num_channels_down: [4, 4, 4], num_channels_skip: [16, 8, 8], time cost: 79.76630187034607, last_loss: 0.03338360786437988
